dataset,baseline_model,metric,analysis_group,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
KC2,mlp,f1,primary,5,0.44419067333678336,0.48840336134453777,-0.04421268800775445,0.031068322835052536,-0.08278910595661115,-0.00563627005889774,-1.4230793288227297,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
KC2,mlp,accuracy,supplementary,5,0.8399999999999999,0.8363636363636363,0.0036363636363636598,0.01651445647689541,-0.01686904242090038,0.0241417696936277,0.22019275302527355,0.3333333333333333,5.0,0.625,1.0,0.625,1.0,hybrid_attention_higher
KC2,mlp,precision,supplementary,5,0.6754700854700855,0.605934065934066,0.06953601953601954,0.11003419532350467,-0.06708947936849746,0.20616151844053654,0.6319491802669255,0.6,3.0,0.3125,1.0,0.25,1.0,hybrid_attention_higher
KC2,mlp,recall,supplementary,5,0.3333333333333333,0.4095238095238094,-0.07619047619047613,0.026082026547865053,-0.10857558955515503,-0.04380536282579722,-2.9211869733608835,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
PC1,logistic_regression,roc_auc,primary,5,0.6886363636363637,0.6484287317620652,0.0402076318742985,0.0034940828580798883,0.035869154982679785,0.04454610876591722,11.50734928375279,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
PC1,logistic_regression,pr_auc,primary,5,0.23990893000697006,0.182942059470449,0.05696687053652107,0.00741611786877953,0.04775854397242189,0.06617519710062025,7.681494758374992,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
PC1,logistic_regression,f1,primary,5,0.021052631578947358,0.0909090909090909,-0.06985645933014353,0.047075115315785024,-0.12830793522904455,-0.011404983431242535,-1.4839360214316792,-0.8666666666666667,1.0,0.125,1.0,0.125,1.0,hybrid_attention_lower
PC1,logistic_regression,accuracy,supplementary,5,0.9175925925925925,0.9074074074074074,0.010185185185185141,0.002070433312499864,0.007614402680372291,0.012755967689997991,4.919349550499376,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
PC1,logistic_regression,precision,supplementary,5,0.2,0.25,-0.05,0.44721359549995804,-0.60528902103956,0.5052890210395599,-0.11180339887498947,-0.3333333333333333,5.0,0.625,1.0,1.0,1.0,hybrid_attention_lower
PC1,logistic_regression,recall,supplementary,5,0.0111111111111111,0.05555555555555549,-0.0444444444444444,0.024845199749997632,-0.07529383450219768,-0.013595054386691119,-1.7888543819998322,-1.0,0.0,0.125,1.0,0.125,1.0,hybrid_attention_lower
PC1,random_forest,roc_auc,primary,5,0.6886363636363637,0.7354096520763187,-0.046773288439955076,0.012320784000767263,-0.062071562363352754,-0.0314750145165574,-3.7962915701665025,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
PC1,random_forest,pr_auc,primary,5,0.23990893000697006,0.24087714047218856,-0.000968210465218483,0.006296463022789644,-0.008786301916637644,0.0068498809862006784,-0.15377053144187577,-0.3333333333333333,5.0,0.625,1.0,0.8125,1.0,hybrid_attention_lower
PC1,random_forest,f1,primary,5,0.021052631578947358,0.16450216450216446,-0.1434495329232171,0.0857949071339632,-0.2499779803406947,-0.0369210855057395,-1.6720052240307217,-0.8666666666666667,1.0,0.125,1.0,0.125,1.0,hybrid_attention_lower
PC1,random_forest,accuracy,supplementary,5,0.9175925925925925,0.9157407407407406,0.0018518518518518378,0.004140866624999579,-0.0032897131577736757,0.006993416861477352,0.447213595499958,1.0,0.0,1.0,1.0,1.0,1.0,hybrid_attention_higher
PC1,random_forest,precision,supplementary,5,0.2,0.4666666666666666,-0.26666666666666666,0.521749194749951,-0.9145038578794864,0.381170524546153,-0.5111012519999519,-0.3333333333333333,5.0,0.625,1.0,0.375,1.0,hybrid_attention_lower
PC1,random_forest,recall,supplementary,5,0.0111111111111111,0.09999999999999998,-0.08888888888888888,0.04969039949999532,-0.1505876690043955,-0.02719010877338226,-1.7888543819998317,-1.0,0.0,0.125,1.0,0.125,1.0,hybrid_attention_lower
PC1,mlp,roc_auc,primary,5,0.6886363636363637,0.7635241301907969,-0.07488776655443316,0.022283312211525845,-0.10255615308821915,-0.04721938002064717,-3.3607107347218395,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
PC1,mlp,pr_auc,primary,5,0.23990893000697006,0.19595351882583864,0.0439554111811314,0.01704927925127697,0.022785934939498324,0.06512488742276448,2.5781389660703224,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
PC1,mlp,f1,primary,5,0.021052631578947358,0.01666666666666666,0.004385964912280699,0.06694884878277957,-0.07874201034248475,0.08751394016704615,0.06551217820804182,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,hybrid_attention_higher
PC1,mlp,accuracy,supplementary,5,0.9175925925925925,0.8935185185185185,0.02407407407407407,0.00760725774312734,0.014628416009376017,0.03351973213877212,3.1646192211409456,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
PC1,mlp,precision,supplementary,5,0.2,0.03333333333333332,0.16666666666666669,0.4714045207910316,-0.4186593553900562,0.7519926887233896,0.35355339059327384,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,hybrid_attention_higher
PC1,mlp,recall,supplementary,5,0.0111111111111111,0.0111111111111111,0.0,0.03928371006591926,-0.04877716850472686,0.04877716850472686,0.0,0.0,1.5,1.0,1.0,1.0,1.0,equal
