dataset,baseline_model,metric,analysis_group,training_seeds,split_seed,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,wilcoxon_statistic,wilcoxon_p_value,exact_sign_flip_p_value,paired_rank_biserial,wilcoxon_p_holm_by_metric,sign_flip_p_holm_by_metric,observed_direction,wilcoxon_holm_significant_alpha_0.05,sign_flip_holm_significant_alpha_0.05
PC1,mlp,recall,supplementary,"42,43,44,45,46",42,5,0.0111111111111111,0.0111111111111111,0.0,0.03928371006591926,1.5,1.0,1.0,0.0,1.0,1.0,equal,False,False
PC1,random_forest,recall,supplementary,"42,43,44,45,46",42,5,0.0111111111111111,0.09999999999999998,-0.08888888888888888,0.04969039949999532,0.0,0.125,0.125,-1.0,1.0,1.0,hybrid_attention_lower,False,False
CM1,logistic_regression,roc_auc,primary,"42,43,44,45,46",42,5,0.7987368421052631,0.8536842105263158,-0.054947368421052675,0.013028840797276448,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
CM1,mlp,roc_auc,primary,"42,43,44,45,46",42,5,0.7987368421052631,0.8698947368421053,-0.07115789473684213,0.01586997024819741,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
CM1,random_forest,roc_auc,primary,"42,43,44,45,46",42,5,0.7987368421052631,0.8221052631578948,-0.023368421052631594,0.023123778698003482,1.0,0.125,0.125,-0.8666666666666667,0.9375,0.9375,hybrid_attention_lower,False,False
JM1,logistic_regression,roc_auc,primary,"42,43,44,45,46",42,5,0.722110250662319,0.7184515318252835,0.0036587188370356127,0.002622999048293185,1.0,0.125,0.125,0.8666666666666667,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,mlp,roc_auc,primary,"42,43,44,45,46",42,5,0.722110250662319,0.697703167810158,0.02440708285216131,0.005953213824672054,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,random_forest,roc_auc,primary,"42,43,44,45,46",42,5,0.722110250662319,0.718030364785001,0.00407988587731809,0.003857312875283129,1.0,0.125,0.125,0.8666666666666667,0.9375,0.9375,hybrid_attention_higher,False,False
KC1,logistic_regression,roc_auc,primary,"42,43,44,45,46",42,5,0.7610427315477406,0.7800245348599468,-0.018981803312206093,0.008900600731942418,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,mlp,roc_auc,primary,"42,43,44,45,46",42,5,0.7610427315477406,0.7667552647720303,-0.005712533224289551,0.014766079994439484,6.0,0.8125,0.5,-0.2,1.0,1.0,hybrid_attention_lower,False,False
KC1,random_forest,roc_auc,primary,"42,43,44,45,46",42,5,0.7610427315477406,0.7676098957268452,-0.006567164179104479,0.01192675429085449,3.0,0.3125,0.3125,-0.6,0.9375,0.9375,hybrid_attention_lower,False,False
KC2,logistic_regression,roc_auc,primary,"42,43,44,45,46",42,5,0.8231139646869983,0.8239700374531835,-0.0008560727661852008,0.006871221442376862,7.0,1.0,0.8125,-0.06666666666666667,1.0,1.0,hybrid_attention_lower,False,False
KC2,mlp,roc_auc,primary,"42,43,44,45,46",42,5,0.8231139646869983,0.8584269662921347,-0.03531300160513651,0.005177100717058228,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC2,random_forest,roc_auc,primary,"42,43,44,45,46",42,5,0.8231139646869983,0.8188336008560727,0.004280363830925582,0.0033413579445684223,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
PC1,logistic_regression,roc_auc,primary,"42,43,44,45,46",42,5,0.6886363636363637,0.6484287317620652,0.0402076318742985,0.0034940828580798883,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
PC1,mlp,roc_auc,primary,"42,43,44,45,46",42,5,0.6886363636363637,0.7635241301907969,-0.07488776655443316,0.022283312211525845,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
PC1,random_forest,roc_auc,primary,"42,43,44,45,46",42,5,0.6886363636363637,0.7354096520763187,-0.046773288439955076,0.012320784000767263,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
