dataset,model,training_seed,split_seed,threshold,train_samples,validation_samples,test_samples,train_positive,validation_positive,test_positive,validation_roc_auc,validation_pr_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_youden_j,validation_tn,validation_fp,validation_fn,validation_tp,test_roc_auc,test_pr_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_youden_j,test_tn,test_fp,test_fn,test_tp,mlp_iterations,mlp_final_loss
KC1,logistic_regression,43,42,0.5,1370,307,432,209,50,67,0.7891050583657588,0.5071077288026293,0.8599348534201955,0.6344357976653696,0.6521739130434783,0.3,0.410958904109589,0.26887159533073923,249,8,35,15,0.7800245348599468,0.4164660042762571,0.8472222222222222,0.5562052749948886,0.5294117647058824,0.13432835820895522,0.21428571428571427,0.11241054998977718,357,8,58,9,,
KC1,random_forest,43,42,0.5,1370,307,432,209,50,67,0.817704280155642,0.5297043747425707,0.8664495114006515,0.6866536964980545,0.6363636363636364,0.42,0.5060240963855421,0.37330739299610904,245,12,29,21,0.7650787160089961,0.3952380429704353,0.8425925925925926,0.6083009609486812,0.4864864864864865,0.26865671641791045,0.34615384615384615,0.2166019218973625,346,19,49,18,,
KC1,mlp,43,42,0.5,1370,307,432,209,50,67,0.8305058365758755,0.5673983930222907,0.8827361563517915,0.6883268482490272,0.7692307692307693,0.4,0.5263157894736842,0.37665369649805447,251,6,30,20,0.7584951952565937,0.3724296488235146,0.8449074074074074,0.5548354119811899,0.5,0.13432835820895522,0.21176470588235294,0.10967082396237982,356,9,58,9,50.0,0.2771029382609195
KC1,logistic_regression,44,42,0.5,1370,307,432,209,50,67,0.7891050583657588,0.5071077288026293,0.8599348534201955,0.6344357976653696,0.6521739130434783,0.3,0.410958904109589,0.26887159533073923,249,8,35,15,0.7800245348599468,0.4164660042762571,0.8472222222222222,0.5562052749948886,0.5294117647058824,0.13432835820895522,0.21428571428571427,0.11241054998977718,357,8,58,9,,
KC1,random_forest,44,42,0.5,1370,307,432,209,50,67,0.8176264591439689,0.5487365697976264,0.8697068403908795,0.6885992217898833,0.65625,0.42,0.5121951219512195,0.3771984435797666,246,11,29,21,0.764628910243304,0.37602943502769137,0.8101851851851852,0.6134941729707626,0.3728813559322034,0.3283582089552239,0.3492063492063492,0.22698834594152517,328,37,45,22,,
KC1,mlp,44,42,0.5,1370,307,432,209,50,67,0.8331517509727626,0.5673476149127795,0.8631921824104235,0.6766536964980545,0.625,0.4,0.4878048780487805,0.353307392996109,245,12,30,20,0.7748313228378655,0.3801493937555188,0.8449074074074074,0.5913923533019833,0.5,0.22388059701492538,0.30927835051546393,0.1827847066039665,350,15,52,15,50.0,0.26521406983529017
KC1,logistic_regression,45,42,0.5,1370,307,432,209,50,67,0.7891050583657588,0.5071077288026293,0.8599348534201955,0.6344357976653696,0.6521739130434783,0.3,0.410958904109589,0.26887159533073923,249,8,35,15,0.7800245348599468,0.4164660042762571,0.8472222222222222,0.5562052749948886,0.5294117647058824,0.13432835820895522,0.21428571428571427,0.11241054998977718,357,8,58,9,,
KC1,random_forest,45,42,0.5,1370,307,432,209,50,67,0.8200000000000002,0.5214935421065594,0.8566775244299675,0.6647081712062257,0.59375,0.38,0.4634146341463415,0.32941634241245143,244,13,31,19,0.7645266816601922,0.3648464123647223,0.8101851851851852,0.595215702310366,0.3584905660377358,0.2835820895522388,0.31666666666666665,0.19043140462073205,331,34,48,19,,
KC1,mlp,45,42,0.5,1370,307,432,209,50,67,0.8242801556420234,0.5615296268865646,0.8697068403908795,0.6885992217898833,0.65625,0.42,0.5121951219512195,0.3771984435797666,246,11,29,21,0.7677162134532817,0.37631296684097565,0.8379629629629629,0.5811899407074218,0.45161290322580644,0.208955223880597,0.2857142857142857,0.1623798814148436,348,17,53,14,50.0,0.26191799846044567
KC1,logistic_regression,46,42,0.5,1370,307,432,209,50,67,0.7891050583657588,0.5071077288026293,0.8599348534201955,0.6344357976653696,0.6521739130434783,0.3,0.410958904109589,0.26887159533073923,249,8,35,15,0.7800245348599468,0.4164660042762571,0.8472222222222222,0.5562052749948886,0.5294117647058824,0.13432835820895522,0.21428571428571427,0.11241054998977718,357,8,58,9,,
KC1,random_forest,46,42,0.5,1370,307,432,209,50,67,0.8195330739299611,0.5142081809782071,0.8697068403908795,0.6885992217898833,0.65625,0.42,0.5121951219512195,0.3771984435797666,246,11,29,21,0.7709875281128603,0.37830836086705677,0.8078703703703703,0.5877530157432018,0.34615384615384615,0.26865671641791045,0.3025210084033613,0.17550603148640365,331,34,49,18,,
KC1,mlp,46,42,0.5,1370,307,432,209,50,67,0.8213229571984436,0.572284904070041,0.8697068403908795,0.7047081712062256,0.6388888888888888,0.46,0.5348837209302325,0.4094163424124513,244,13,27,23,0.7787569004293601,0.3904638964666755,0.8402777777777778,0.588652627274586,0.46875,0.22388059701492538,0.30303030303030304,0.177305254549172,348,17,52,15,50.0,0.2631213342889196
KC2,logistic_regression,42,42,0.5,346,66,110,69,17,21,0.7983193277310925,0.5667654456152041,0.803030303030303,0.656062424969988,0.75,0.35294117647058826,0.48,0.312124849939976,47,2,11,6,0.8239700374531835,0.583305877050964,0.8363636363636363,0.6260032102728732,0.6666666666666666,0.2857142857142857,0.4,0.2520064205457464,86,3,15,6,,
KC2,random_forest,42,42,0.5,346,66,110,69,17,21,0.7761104441776712,0.6002281487575605,0.7727272727272727,0.6548619447779112,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.3097238895558223,44,5,10,7,0.8226324237560193,0.5797011181837257,0.8363636363636363,0.6441947565543071,0.6363636363636364,0.3333333333333333,0.4375,0.28838951310861427,85,4,14,7,,
KC2,mlp,42,42,0.5,346,66,110,69,17,21,0.7839135654261705,0.5417104684622254,0.7424242424242424,0.5960384153661464,0.5,0.29411764705882354,0.37037037037037035,0.19207683073229287,44,5,12,5,0.864633493846977,0.583145783038481,0.8363636363636363,0.6623863028357411,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.32477260567148214,84,5,13,8,50.0,0.25449645534776066
KC2,logistic_regression,43,42,0.5,346,66,110,69,17,21,0.7983193277310925,0.5667654456152041,0.803030303030303,0.656062424969988,0.75,0.35294117647058826,0.48,0.312124849939976,47,2,11,6,0.8239700374531835,0.583305877050964,0.8363636363636363,0.6260032102728732,0.6666666666666666,0.2857142857142857,0.4,0.2520064205457464,86,3,15,6,,
KC2,random_forest,43,42,0.5,346,66,110,69,17,21,0.765906362545018,0.582156994202473,0.7424242424242424,0.5960384153661464,0.5,0.29411764705882354,0.37037037037037035,0.19207683073229287,44,5,12,5,0.8218298555377207,0.5763849108237544,0.8454545454545455,0.649812734082397,0.7,0.3333333333333333,0.45161290322580644,0.2996254681647941,86,3,14,7,,
