dataset,reference_variant,ablation_variant,ablation_description,metric,analysis_group,n_pairs,reference_mean,ablation_mean,mean_difference_ablation_minus_reference,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
KC2,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,recall,supplementary,5,0.3333333333333333,0.27619047619047615,-0.05714285714285716,0.06208764195431097,-0.13423484689089082,0.019949132605176514,-0.9203579866168444,-1.0,0.0,0.25,1.0,0.25,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,recall,supplementary,5,0.0111111111111111,0.0,-0.0111111111111111,0.024845199749997632,-0.04196050116886438,0.01973827894664218,-0.44721359549995804,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,recall,supplementary,5,0.0111111111111111,0.0,-0.0111111111111111,0.024845199749997632,-0.04196050116886438,0.01973827894664218,-0.44721359549995804,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,recall,supplementary,5,0.0111111111111111,0.0,-0.0111111111111111,0.024845199749997632,-0.04196050116886438,0.01973827894664218,-0.44721359549995804,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,roc_auc,primary,5,0.7987368421052631,0.7029473684210527,-0.0957894736842105,0.050548240857023044,-0.1585534045289087,-0.033025542839512284,-1.895011024323347,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,roc_auc,primary,5,0.7987368421052631,0.8286315789473685,0.029894736842105307,0.020875571218153803,0.003974291618584987,0.05581518206562563,1.4320440159313228,0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_higher
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,roc_auc,primary,5,0.7987368421052631,0.7791578947368422,-0.01957894736842105,0.008308457793966795,-0.029895260291785106,-0.009262634445056993,-2.356508013152374,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,roc_auc,primary,5,0.722110250662319,0.72029413762652,-0.0018161130357992271,0.003388847898404091,-0.006023923466636083,0.002391697395037628,-0.5359086893969153,-0.4666666666666667,4.0,0.4375,1.0,0.375,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,roc_auc,primary,5,0.722110250662319,0.7185010076308221,-0.003609243031496967,0.0027866798209398064,-0.007069363039678844,-0.00014912302331509088,-1.295176792244382,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,roc_auc,primary,5,0.722110250662319,0.7220458302198673,-6.442044245182909e-05,0.0020454559964280645,-0.002604189513126569,0.002475348628222911,-0.031494416190974095,0.06666666666666667,7.0,1.0,1.0,1.0,1.0,ablation_lower
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,roc_auc,primary,5,0.7610427315477406,0.7560457984052341,-0.004996933142506621,0.012950264293221157,-0.021076810082623076,0.011082943797609835,-0.3858556882983675,-0.4666666666666667,4.0,0.4375,1.0,0.4375,1.0,ablation_lower
